ordernumber,orderdate,year,month,day,customername,customer_type,warehousecode,product_code,orderquantity,unitprice,revenue,costs,profit,client_group,product_type,is_holiday,week_num,year_month,year_week
SO - 0001284,2016-03-23,2016,3,23,Ole Group,Distributor,GUT930,STK-115,5,370.62,1853.1,870,983.1,gamma,CY,0,12,2016-03,2016-12
SO - 0001285,2015-08-12,2015,8,12,Sundial ,Distributor,NXH382,STK-147,11,414.15,4555.65,2761,1794.6499999999996,alpha,CY,0,33,2015-08,2015-33
SO - 0001286,2016-02-21,2016,2,21,Wuxi Group,Wholesale,GUT930,STK-157,5,444.02,2220.1,1490,730.0999999999999,alpha,CZ,0,7,2016-02,2016-07
SO - 0001287,2015-06-03,2015,6,3,Uriel Group,Wholesale,AXW291,STK-138,11,257.28,2830.08,1474,1356.08,beta,CY,0,23,2015-06,2015-23
SO - 0001288,2015-04-05,2015,4,5,Ole Group,Distributor,FLR025,STK-162,6,187.18,1123.08,588,535.0799999999999,gamma,CX,0,14,2015-04,2015-14
SO - 0001289,2015-12-06,2015,12,6,Weimei Corp,Export,AXW291,STK-129,9,284.59,2561.31,1719,842.31,beta,CY,0,49,2015-12,2015-49
SO - 0001290,2015-11-16,2015,11,16,Procter Corp,Distributor,AXW291,STK-142,9,88.74,798.66,522,276.66,beta,CX,0,47,2015-11,2015-47
SO - 0001291,2016-01-06,2016,1,6,ETUDE Ltd,Wholesale,AXW291,STK-137,5,307.98,1539.9,885,654.9000000000001,beta,CY,0,1,2016-01,2016-01
SO - 0001292,2015-12-05,2015,12,5,Eminence Corp,Wholesale,NXH382,STK-113,10,323.4,3234.0,1650,1584.0,alpha,CZ,0,49,2015-12,2015-49
SO - 0001293,2015-11-09,2015,11,9,Sundial ,Wholesale,NXH382,STK-109,8,432.62,3460.96,1784,1676.96,alpha,CY,0,46,2015-11,2015-46
SO - 0001294,2015-02-19,2015,2,19,Medsep Group,Wholesale,AXW291,STK-102,8,354.32,2834.56,1648,1186.56,beta,CZ,0,8,2015-02,2015-08
SO - 0001295,2015-07-18,2015,7,18,S.S.S. Group,Wholesale,FLR025,STK-155,12,513.08,6156.960000000001,3048,3108.960000000001,alpha,CX,0,29,2015-07,2015-29
SO - 0001296,2015-06-03,2015,6,3,Qualitest ,Wholesale,GUT930,STK-100,6,115.8,694.8000000000001,360,334.80000000000007,beta,CX,0,23,2015-06,2015-23
SO - 0001297,2016-02-09,2016,2,9,Nipro ,Distributor,NXH382,STK-106,5,206.55,1032.75,675,357.75,beta,CY,0,6,2016-02,2016-06
SO - 0001298,2015-08-03,2015,8,3,U.S. Ltd,Distributor,NXH382,STK-109,12,432.62,5191.4400000000005,2676,2515.4400000000005,beta,CY,1,32,2015-08,2015-32
SO - 0001299,2015-05-23,2015,5,23,OHTA'S Corp,Distributor,AXW291,STK-158,9,143.1,1287.9,810,477.8999999999999,gamma,CX,0,21,2015-05,2015-21
SO - 0001300,2015-08-08,2015,8,8,"Apotheca, Ltd",Wholesale,GUT930,STK-111,7,406.8,2847.6,1582,1265.6,beta,CZ,0,32,2015-08,2015-32
SO - 0001301,2015-04-12,2015,4,12,ETUDE Ltd,Export,NXH382,STK-167,6,343.90000000000003,2063.4,1140,923.4,beta,CY,0,15,2015-04,2015-15
SO - 0001302,2016-05-04,2016,5,4,Dharma Ltd,Distributor,AXW291,STK-146,9,443.84,3994.56,2628,1366.5600000000004,alpha,BX,0,18,2016-05,2016-18
SO - 0001303,2015-09-24,2015,9,24,Sundial ,Wholesale,NXH382,STK-158,10,143.1,1431.0,900,531.0,alpha,CX,0,39,2015-09,2015-39
SO - 0001304,2016-01-21,2016,1,21,ETUDE Ltd,Distributor,AXW291,STK-131,11,580.35,6383.85,2915,3468.8500000000004,beta,BY,0,3,2016-01,2016-03
SO - 0001305,2015-10-23,2015,10,23,E. Ltd,Export,GUT930,STK-130,8,423.7,3389.6,1784,1605.6,beta,CZ,0,43,2015-10,2015-43
SO - 0001306,2015-05-12,2015,5,12,O.E. Ltd,Distributor,AXW291,STK-136,9,287.98,2591.82,1386,1205.8200000000002,beta,CY,0,20,2015-05,2015-20
SO - 0001307,2015-09-18,2015,9,18,U.S. Ltd,Export,AXW291,STK-158,12,143.1,1717.1999999999998,1080,637.1999999999998,beta,CX,0,38,2015-09,2015-38
SO - 0001308,2016-06-11,2016,6,11,Rochester Ltd,Distributor,NXH382,STK-105,8,480.68,3845.44,1952,1893.44,beta,CY,0,23,2016-06,2016-23
SO - 0001309,2015-06-25,2015,6,25,Victory Ltd,Distributor,FLR025,STK-165,12,145.6,1747.1999999999998,1092,655.1999999999998,beta,CY,0,26,2015-06,2015-26
SO - 0001310,2015-09-13,2015,9,13,Sundial ,Wholesale,AXW291,STK-105,7,480.68,3364.76,1708,1656.7600000000002,alpha,CY,0,37,2015-09,2015-37
SO - 0001311,2015-07-19,2015,7,19,OUR Ltd,Wholesale,GUT930,STK-114,6,291.43,1748.58,906,842.5799999999999,alpha,CZ,0,29,2015-07,2015-29
SO - 0001312,2016-03-29,2016,3,29,OHTA'S Corp,Wholesale,FLR025,STK-119,9,411.09,3699.81,1917,1782.8100000000004,gamma,CY,0,13,2016-03,2016-13
SO - 0001313,2015-08-01,2015,8,1,Winthrop ,Wholesale,AXW291,STK-160,9,240.64,2165.76,1152,1013.7599999999998,beta,CZ,0,31,2015-08,2015-31
SO - 0001314,2015-10-15,2015,10,15,21st Ltd,Wholesale,AXW291,STK-103,7,235.17,1646.1899999999998,819,827.1899999999998,gamma,CY,0,42,2015-10,2015-42
SO - 0001315,2015-12-15,2015,12,15,Prasco Group,Export,GUT930,STK-120,7,444.44000000000005,3111.0800000000004,1897,1214.0800000000004,alpha,CX,0,51,2015-12,2015-51
SO - 0001316,2016-05-04,2016,5,4,"PEDIFIX, Corp",Wholesale,FLR025,STK-113,9,323.4,2910.6,1485,1425.6,beta,CZ,0,18,2016-05,2016-18
SO - 0001317,2016-02-19,2016,2,19,Victory Ltd,Wholesale,AXW291,STK-154,11,345.15,3796.65,2145,1651.6499999999996,beta,CY,0,7,2016-02,2016-07
SO - 0001318,2016-05-29,2016,5,29,Ole Group,Wholesale,NXH382,STK-136,8,287.98,2303.84,1232,1071.84,gamma,CY,0,21,2016-05,2016-21
SO - 0001319,2015-01-18,2015,1,18,WakeFern ,Wholesale,GUT930,STK-133,6,271.56,1629.36,1116,513.3600000000001,alpha,CY,0,3,2015-01,2015-03
SO - 0001320,2015-01-30,2015,1,30,"Elorac, Corp",Wholesale,AXW291,STK-105,10,480.68,4806.8,2440,2366.8,beta,CY,0,5,2015-01,2015-05
SO - 0001321,2015-11-24,2015,11,24,Prasco Group,Wholesale,AXW291,STK-105,6,480.68,2884.08,1464,1420.08,alpha,CY,0,48,2015-11,2015-48
SO - 0001322,2016-03-06,2016,3,6,Ei ,Wholesale,FLR025,STK-111,12,406.8,4881.6,2712,2169.6000000000004,alpha,CZ,0,9,2016-03,2016-09
SO - 0001323,2015-12-15,2015,12,15,Medsep Group,Distributor,GUT930,STK-121,9,346.48,3118.32,2196,922.3199999999996,beta,CY,0,51,2015-12,2015-51
SO - 0001324,2015-01-19,2015,1,19,Sundial ,Wholesale,GUT930,STK-140,9,282.48,2542.32,1188,1354.3199999999997,alpha,CY,0,4,2015-01,2015-04
SO - 0001325,2015-09-27,2015,9,27,Eminence Corp,Distributor,AXW291,STK-151,12,341.7,4100.4,2040,2060.4,alpha,CY,0,39,2015-09,2015-39
SO - 0001326,2016-04-22,2016,4,22,Dharma Ltd,Distributor,AXW291,STK-152,12,359.54999999999995,4314.599999999999,3060,1254.5999999999997,alpha,CY,0,16,2016-04,2016-16
SO - 0001327,2015-07-08,2015,7,8,Ole Group,Wholesale,FLR025,STK-166,10,451.92,4519.2,2690,1829.2,gamma,CZ,0,28,2015-07,2015-28
SO - 0001328,2015-05-28,2015,5,28,Bare ,Distributor,AXW291,STK-136,11,287.98,3167.78,1694,1473.7800000000002,beta,CY,0,22,2015-05,2015-22
SO - 0001329,2016-06-03,2016,6,3,Amylin Group,Wholesale,NXH382,STK-134,5,484.3,2421.5,1450,971.5,beta,BX,0,22,2016-06,2016-22
SO - 0001330,2015-04-27,2015,4,27,Victory Ltd,Wholesale,AXW291,STK-100,11,115.8,1273.8000000000002,660,613.8000000000002,beta,CX,0,18,2015-04,2015-18
SO - 0001331,2015-08-27,2015,8,27,Rochester Ltd,Wholesale,AXW291,STK-165,8,145.6,1164.8,728,436.8,beta,CY,0,35,2015-08,2015-35
SO - 0001332,2016-06-08,2016,6,8,Dharma Ltd,Distributor,AXW291,STK-146,11,443.84,4882.240000000001,3212,1670.2400000000007,alpha,BX,0,23,2016-06,2016-23
SO - 0001333,2015-04-23,2015,4,23,Procter Corp,Wholesale,NXH382,STK-105,6,480.68,2884.08,1464,1420.08,beta,CY,0,17,2015-04,2015-17
SO - 0001334,2016-01-17,2016,1,17,Capweld ,Distributor,NXH382,STK-133,10,271.56,2715.6,1860,855.5999999999999,beta,CY,0,2,2016-01,2016-02
SO - 0001335,2015-10-02,2015,10,2,Uriel Group,Wholesale,AXW291,STK-104,7,389.36,2725.5199999999995,1736,989.5199999999996,beta,CZ,0,40,2015-10,2015-40
SO - 0001336,2015-08-13,2015,8,13,Pacific Ltd,Wholesale,AXW291,STK-163,6,239.04,1434.24,996,438.24,beta,CY,0,33,2015-08,2015-33
SO - 0001337,2015-04-08,2015,4,8,Ohio ,Wholesale,NXH382,STK-158,6,143.1,858.5999999999999,540,318.5999999999999,beta,CX,0,15,2015-04,2015-15
SO - 0001338,2015-02-28,2015,2,28,Ohio ,Wholesale,NXH382,STK-166,6,451.92,2711.52,1614,1097.52,beta,CZ,0,9,2015-02,2015-09
SO - 0001339,2015-11-12,2015,11,12,"Fenwal, Corp",Wholesale,AXW291,STK-141,6,301.49999999999994,1808.9999999999995,900,908.9999999999995,alpha,CY,0,46,2015-11,2015-46
SO - 0001340,2015-11-09,2015,11,9,Procter Corp,Distributor,GUT930,STK-147,5,414.15,2070.75,1255,815.75,beta,CY,0,46,2015-11,2015-46
SO - 0001341,2016-03-04,2016,3,4,AuroMedics Corp,Distributor,AXW291,STK-140,9,282.48,2542.32,1188,1354.3199999999997,gamma,CY,0,9,2016-03,2016-09
SO - 0001342,2015-05-13,2015,5,13,Select ,Distributor,FLR025,STK-159,9,603.2,5428.8,2610,2818.8,beta,AZ,0,20,2015-05,2015-20
SO - 0001343,2015-10-14,2015,10,14,Medline ,Wholesale,AXW291,STK-156,12,178.5,2142.0,1020,1122.0,beta,CY,0,42,2015-10,2015-42
SO - 0001344,2016-05-13,2016,5,13,E. Ltd,Wholesale,AXW291,STK-139,5,574.24,2871.2,1480,1391.1999999999998,beta,BY,0,19,2016-05,2016-19
SO - 0001345,2015-09-01,2015,9,1,21st Ltd,Wholesale,AXW291,STK-141,9,301.49999999999994,2713.4999999999995,1350,1363.4999999999995,gamma,CY,0,36,2015-09,2015-36
SO - 0001346,2015-08-25,2015,8,25,WakeFern ,Distributor,GUT930,STK-104,5,389.36,1946.8,1240,706.7999999999997,alpha,CZ,0,35,2015-08,2015-35
SO - 0001347,2016-01-08,2016,1,8,"Exact-Rx, Corp",Export,AXW291,STK-141,11,301.49999999999994,3316.4999999999995,1650,1666.4999999999995,beta,CY,0,1,2016-01,2016-01
SO - 0001348,2015-09-24,2015,9,24,Amylin Group,Wholesale,GUT930,STK-113,8,323.4,2587.2,1320,1267.1999999999998,beta,CZ,0,39,2015-09,2015-39
SO - 0001349,2016-03-29,2016,3,29,Capweld ,Wholesale,NXH382,STK-104,7,389.36,2725.5199999999995,1736,989.5199999999996,beta,CZ,0,13,2016-03,2016-13
SO - 0001350,2015-04-30,2015,4,30,Pure Group,Export,NXH382,STK-166,8,451.92,3615.36,2152,1463.36,beta,CZ,0,18,2015-04,2015-18
SO - 0001351,2016-02-17,2016,2,17,Ole Group,Distributor,AXW291,STK-130,6,423.7,2542.2,1338,1204.1999999999998,gamma,CZ,0,7,2016-02,2016-07
SO - 0001352,2015-05-14,2015,5,14,O.E. Ltd,Wholesale,AXW291,STK-127,11,207.05,2277.55,1111,1166.5499999999995,beta,CY,0,20,2015-05,2015-20
SO - 0001353,2016-05-03,2016,5,3,WakeFern ,Distributor,AXW291,STK-135,6,311.75,1870.5,1290,580.5,alpha,CY,0,18,2016-05,2016-18
SO - 0001354,2015-06-11,2015,6,11,Victory Ltd,Wholesale,AXW291,STK-142,5,88.74,443.7,290,153.7,beta,CX,0,24,2015-06,2015-24
SO - 0001355,2016-06-03,2016,6,3,Uriel Group,Wholesale,FLR025,STK-144,6,127.92000000000002,767.5200000000001,468,299.5200000000001,beta,CY,0,22,2016-06,2016-22
SO - 0001356,2015-12-02,2015,12,2,Amylin Group,Wholesale,AXW291,STK-140,9,282.48,2542.32,1188,1354.3199999999997,beta,CY,0,49,2015-12,2015-49
SO - 0001357,2015-03-20,2015,3,20,Winthrop ,Distributor,GUT930,STK-156,7,178.5,1249.5,595,654.5,beta,CY,0,12,2015-03,2015-12
SO - 0001358,2016-02-04,2016,2,4,Bare ,Wholesale,FLR025,STK-124,8,139.87,1118.96,568,550.96,beta,CZ,0,5,2016-02,2016-05
SO - 0001359,2015-07-26,2015,7,26,Qualitest ,Distributor,AXW291,STK-152,11,359.54999999999995,3955.0499999999993,2805,1150.0499999999993,beta,CY,0,30,2015-07,2015-30
SO - 0001360,2015-07-16,2015,7,16,Llorens Ltd,Wholesale,AXW291,STK-128,11,543.4,5977.4,2860,3117.4,gamma,BZ,0,29,2015-07,2015-29
SO - 0001361,2015-03-07,2015,3,7,WakeFern ,Wholesale,NXH382,STK-106,8,206.55,1652.4,1080,572.4000000000001,alpha,CY,0,10,2015-03,2015-10
SO - 0001362,2015-08-23,2015,8,23,Apollo Ltd,Wholesale,NXH382,STK-137,12,307.98,3695.76,2124,1571.7600000000002,gamma,CY,0,34,2015-08,2015-34
SO - 0001363,2015-12-30,2015,12,30,Bare ,Export,AXW291,STK-121,10,346.48,3464.8,2440,1024.7999999999995,beta,CY,0,53,2015-12,2015-53
SO - 0001364,2015-12-03,2015,12,3,Mylan Corp,Distributor,AXW291,STK-141,6,301.49999999999994,1808.9999999999995,900,908.9999999999995,alpha,CY,0,49,2015-12,2015-49
SO - 0001365,2015-04-27,2015,4,27,Burt's Corp,Wholesale,GUT930,STK-112,8,643.5,5148.0,2288,2860.0,beta,AX,0,18,2015-04,2015-18
SO - 0001366,2016-03-07,2016,3,7,Prasco Group,Export,AXW291,STK-138,8,257.28,2058.24,1072,986.2399999999998,alpha,CY,0,10,2016-03,2016-10
SO - 0001367,2016-04-29,2016,4,29,Ole Group,Distributor,AXW291,STK-151,6,341.7,2050.2,1020,1030.1999999999998,gamma,CY,0,17,2016-04,2016-17
SO - 0001368,2015-05-19,2015,5,19,Avon Corp,Wholesale,NXH382,STK-111,12,406.8,4881.6,2712,2169.6000000000004,alpha,CZ,0,21,2015-05,2015-21
SO - 0001369,2015-12-18,2015,12,18,Niconovum Corp,Wholesale,GUT930,STK-108,7,548.12,3836.84,1988,1848.84,alpha,BY,0,51,2015-12,2015-51
SO - 0001370,2016-01-28,2016,1,28,21st Ltd,Distributor,AXW291,STK-104,11,389.36,4282.959999999999,2728,1554.9599999999991,gamma,CZ,0,4,2016-01,2016-04
SO - 0001371,2016-01-06,2016,1,6,"Apotheca, Ltd",Wholesale,GUT930,STK-141,7,301.49999999999994,2110.4999999999995,1050,1060.4999999999995,beta,CY,0,1,2016-01,2016-01
SO - 0001372,2015-08-22,2015,8,22,Ascend Ltd,Export,AXW291,STK-153,11,452.48,4977.280000000001,2464,2513.2800000000007,beta,BX,0,34,2015-08,2015-34
SO - 0001373,2016-02-11,2016,2,11,S.S.S. Group,Distributor,AXW291,STK-100,12,115.8,1389.6,720,669.6000000000001,alpha,CX,0,6,2016-02,2016-06
SO - 0001374,2016-03-02,2016,3,2,Ole Group,Wholesale,AXW291,STK-136,7,287.98,2015.86,1078,937.86,gamma,CY,0,9,2016-03,2016-09
SO - 0001375,2015-12-08,2015,12,8,OUR Ltd,Wholesale,FLR025,STK-101,7,417.45,2922.15,1771,1151.15,alpha,CX,0,50,2015-12,2015-50
SO - 0001376,2015-08-22,2015,8,22,Winthrop ,Wholesale,AXW291,STK-123,12,233.84,2806.08,1776,1030.08,beta,CY,0,34,2015-08,2015-34
SO - 0001377,2015-09-15,2015,9,15,Procter Corp,Wholesale,NXH382,STK-107,6,262.26,1573.56,1116,457.56,beta,CZ,0,38,2015-09,2015-38
SO - 0001378,2016-01-11,2016,1,11,Nipro ,Wholesale,AXW291,STK-100,11,115.8,1273.8000000000002,660,613.8000000000002,beta,CX,0,2,2016-01,2016-02
SO - 0001379,2016-05-17,2016,5,17,Linde ,Wholesale,NXH382,STK-126,7,407.62,2853.34,1603,1250.34,beta,CX,0,20,2016-05,2016-20
SO - 0001380,2016-02-10,2016,2,10,"Elorac, Corp",Export,AXW291,STK-168,12,535.02,6420.24,2892,3528.24,beta,BZ,0,6,2016-02,2016-06
SO - 0001381,2015-03-28,2015,3,28,Procter Corp,Distributor,FLR025,STK-110,10,538.48,5384.8,2540,2844.8,beta,BX,0,13,2015-03,2015-13
SO - 0001382,2016-06-18,2016,6,18,OUR Ltd,Distributor,AXW291,STK-111,6,406.8,2440.8,1356,1084.8000000000002,alpha,CZ,0,24,2016-06,2016-24
SO - 0001383,2015-05-17,2015,5,17,S.S.S. Group,Distributor,GUT930,STK-123,6,233.84,1403.04,888,515.04,alpha,CY,0,20,2015-05,2015-20
SO - 0001384,2015-08-07,2015,8,7,Victory Ltd,Wholesale,GUT930,STK-110,11,538.48,5923.280000000001,2794,3129.2800000000007,beta,BX,0,32,2015-08,2015-32
SO - 0001385,2015-10-24,2015,10,24,Uriel Group,Wholesale,NXH382,STK-162,9,187.18,1684.62,882,802.6200000000001,beta,CX,0,43,2015-10,2015-43
SO - 0001386,2016-06-27,2016,6,27,Sundial ,Distributor,AXW291,STK-133,10,271.56,2715.6,1860,855.5999999999999,alpha,CY,0,26,2016-06,2016-26
SO - 0001387,2016-05-10,2016,5,10,21st Ltd,Wholesale,NXH382,STK-163,11,239.04,2629.44,1826,803.44,gamma,CY,0,19,2016-05,2016-19
SO - 0001388,2015-10-16,2015,10,16,O.E. Ltd,Wholesale,NXH382,STK-166,10,451.92,4519.2,2690,1829.2,beta,CZ,0,42,2015-10,2015-42
SO - 0001389,2015-01-28,2015,1,28,Sundial ,Distributor,AXW291,STK-100,10,115.8,1158.0,600,558.0,alpha,CX,0,5,2015-01,2015-05
SO - 0001390,2015-02-06,2015,2,6,O.E. Ltd,Wholesale,GUT930,STK-159,5,603.2,3016.0,1450,1566.0,beta,AZ,0,6,2015-02,2015-06
SO - 0001391,2015-05-14,2015,5,14,Linde ,Wholesale,GUT930,STK-106,10,206.55,2065.5,1350,715.5,beta,CY,0,20,2015-05,2015-20
SO - 0001392,2015-04-23,2015,4,23,E. Ltd,Export,NXH382,STK-163,9,239.04,2151.36,1494,657.3600000000001,beta,CY,0,17,2015-04,2015-17
SO - 0001393,2015-05-24,2015,5,24,Winthrop ,Wholesale,AXW291,STK-103,11,235.17,2586.87,1287,1299.87,beta,CY,0,21,2015-05,2015-21
SO - 0001394,2016-06-01,2016,6,1,New Ltd,Wholesale,FLR025,STK-119,5,411.09,2055.4500000000003,1065,990.4500000000004,beta,CY,0,22,2016-06,2016-22
SO - 0001395,2015-05-09,2015,5,9,WakeFern ,Wholesale,AXW291,STK-125,7,167.7,1173.9,602,571.8999999999999,alpha,CZ,0,19,2015-05,2015-19
SO - 0001396,2015-10-08,2015,10,8,Ei ,Wholesale,GUT930,STK-150,9,217.14,1954.26,1269,685.2600000000002,alpha,CX,0,41,2015-10,2015-41
SO - 0001397,2016-02-04,2016,2,4,"Exact-Rx, Corp",Distributor,GUT930,STK-164,5,226.8,1134.0,525,609.0,beta,CX,0,5,2016-02,2016-05
SO - 0001398,2015-11-16,2015,11,16,S.S.S. Group,Wholesale,NXH382,STK-163,12,239.04,2868.48,1992,876.48,alpha,CY,0,47,2015-11,2015-47
SO - 0001399,2015-08-23,2015,8,23,Dharma Ltd,Distributor,GUT930,STK-157,12,444.02,5328.24,3576,1752.2399999999998,alpha,CZ,0,34,2015-08,2015-34
SO - 0001400,2016-04-29,2016,4,29,Eminence Corp,Distributor,FLR025,STK-134,8,484.3,3874.4,2320,1554.3999999999996,alpha,BX,0,17,2016-04,2016-17
SO - 0001401,2016-06-14,2016,6,14,Victory Ltd,Wholesale,NXH382,STK-127,9,207.05,1863.45,909,954.4499999999998,beta,CY,0,24,2016-06,2016-24
SO - 0001402,2016-06-23,2016,6,23,WakeFern ,Wholesale,AXW291,STK-124,6,139.87,839.22,426,413.22,alpha,CZ,0,25,2016-06,2016-25
SO - 0001403,2015-02-04,2015,2,4,Pure Group,Distributor,GUT930,STK-118,10,146.91,1469.1,830,639.0999999999999,beta,CY,0,6,2015-02,2015-06
SO - 0001404,2016-01-12,2016,1,12,Nipro ,Distributor,AXW291,STK-109,9,432.62,3893.58,2007,1886.58,beta,CY,0,2,2016-01,2016-02
SO - 0001405,2016-02-03,2016,2,3,Nipro ,Wholesale,NXH382,STK-160,9,240.64,2165.76,1152,1013.7599999999998,beta,CZ,0,5,2016-02,2016-05
SO - 0001406,2015-10-01,2015,10,1,Pacific Ltd,Wholesale,NXH382,STK-107,11,262.26,2884.86,2046,838.8599999999997,beta,CZ,0,40,2015-10,2015-40
SO - 0001407,2015-09-03,2015,9,3,"Apotheca, Ltd",Wholesale,AXW291,STK-149,10,112.56000000000002,1125.6,670,455.60000000000014,beta,CY,0,36,2015-09,2015-36
SO - 0001408,2015-01-14,2015,1,14,Sundial ,Export,AXW291,STK-161,11,473.1,5204.1,3135,2069.1000000000004,alpha,CY,0,3,2015-01,2015-03
SO - 0001409,2015-09-26,2015,9,26,Uriel Group,Distributor,GUT930,STK-138,8,257.28,2058.24,1072,986.2399999999998,beta,CY,0,39,2015-09,2015-39
SO - 0001410,2015-04-23,2015,4,23,Select ,Distributor,AXW291,STK-128,7,543.4,3803.8,1820,1983.8,beta,BZ,0,17,2015-04,2015-17
SO - 0001411,2015-12-14,2015,12,14,"Elorac, Corp",Distributor,GUT930,STK-104,10,389.36,3893.6,2480,1413.5999999999997,beta,CZ,0,51,2015-12,2015-51
SO - 0001412,2016-03-22,2016,3,22,"PEDIFIX, Corp",Distributor,AXW291,STK-126,10,407.62,4076.2,2290,1786.1999999999998,beta,CX,0,12,2016-03,2016-12
SO - 0001413,2015-05-24,2015,5,24,ETUDE Ltd,Export,AXW291,STK-150,7,217.14,1519.98,987,532.98,beta,CX,0,21,2015-05,2015-21
SO - 0001414,2015-12-22,2015,12,22,Sundial ,Wholesale,GUT930,STK-112,11,643.5,7078.5,3146,3932.5,alpha,AX,0,52,2015-12,2015-52
SO - 0001415,2015-06-03,2015,6,3,Pure Group,Distributor,GUT930,STK-105,11,480.68,5287.4800000000005,2684,2603.4800000000005,beta,CY,0,23,2015-06,2015-23
SO - 0001416,2015-04-11,2015,4,11,Medsep Group,Export,GUT930,STK-143,6,111.24,667.44,324,343.44000000000005,beta,CX,0,15,2015-04,2015-15
SO - 0001417,2015-11-07,2015,11,7,S.S.S. Group,Export,NXH382,STK-126,12,407.62,4891.4400000000005,2748,2143.4400000000005,alpha,CX,0,45,2015-11,2015-45
SO - 0001418,2016-03-19,2016,3,19,"Apotheca, Ltd",Export,FLR025,STK-123,6,233.84,1403.04,888,515.04,beta,CY,0,11,2016-03,2016-11
SO - 0001419,2016-03-05,2016,3,5,New Ltd,Wholesale,AXW291,STK-139,9,574.24,5168.16,2664,2504.16,beta,BY,0,9,2016-03,2016-09
SO - 0001420,2016-05-21,2016,5,21,Apollo Ltd,Wholesale,AXW291,STK-134,11,484.3,5327.299999999999,3190,2137.3,gamma,BX,0,20,2016-05,2016-20
SO - 0001421,2016-02-09,2016,2,9,21st Ltd,Distributor,NXH382,STK-166,7,451.92,3163.44,1883,1280.44,gamma,CZ,0,6,2016-02,2016-06
SO - 0001422,2015-05-30,2015,5,30,S.S.S. Group,Wholesale,NXH382,STK-120,12,444.44000000000005,5333.280000000001,3252,2081.2800000000007,alpha,CX,0,22,2015-05,2015-22
SO - 0001423,2016-01-28,2016,1,28,"Elorac, Corp",Wholesale,AXW291,STK-160,5,240.64,1203.1999999999998,640,563.1999999999998,beta,CZ,0,4,2016-01,2016-04
SO - 0001424,2015-09-10,2015,9,10,Avon Corp,Distributor,NXH382,STK-122,7,294.40000000000003,2060.8,1288,772.8000000000002,alpha,CY,0,37,2015-09,2015-37
SO - 0001425,2015-08-17,2015,8,17,Trigen ,Wholesale,NXH382,STK-135,6,311.75,1870.5,1290,580.5,gamma,CY,0,34,2015-08,2015-34
SO - 0001426,2016-01-09,2016,1,9,OUR Ltd,Wholesale,AXW291,STK-149,10,112.56000000000002,1125.6,670,455.60000000000014,alpha,CY,0,1,2016-01,2016-01
SO - 0001427,2015-08-16,2015,8,16,"Fenwal, Corp",Wholesale,GUT930,STK-135,8,311.75,2494.0,1720,774.0,alpha,CY,0,33,2015-08,2015-33
SO - 0001428,2016-03-17,2016,3,17,Mylan Corp,Wholesale,AXW291,STK-157,11,444.02,4884.219999999999,3278,1606.2199999999991,alpha,CZ,1,11,2016-03,2016-11
SO - 0001429,2015-06-17,2015,6,17,"Exact-Rx, Corp",Distributor,GUT930,STK-100,8,115.8,926.4,480,446.4000000000001,beta,CX,0,25,2015-06,2015-25
SO - 0001430,2015-09-22,2015,9,22,OUR Ltd,Wholesale,GUT930,STK-140,8,282.48,2259.84,1056,1203.8399999999997,alpha,CY,0,39,2015-09,2015-39
SO - 0001431,2016-05-04,2016,5,4,Weimei Corp,Distributor,GUT930,STK-114,6,291.43,1748.58,906,842.5799999999999,beta,CZ,0,18,2016-05,2016-18
SO - 0001432,2016-06-16,2016,6,16,OHTA'S Corp,Distributor,NXH382,STK-113,12,323.4,3880.8,1980,1900.8,gamma,CZ,0,24,2016-06,2016-24
SO - 0001433,2015-04-23,2015,4,23,O.E. Ltd,Wholesale,AXW291,STK-159,11,603.2,6635.200000000001,3190,3445.2000000000007,beta,AZ,0,17,2015-04,2015-17
SO - 0001434,2016-03-26,2016,3,26,Avon Corp,Wholesale,AXW291,STK-125,12,167.7,2012.4,1032,980.4,alpha,CZ,0,12,2016-03,2016-12
SO - 0001435,2016-06-30,2016,6,30,S.S.S. Group,Wholesale,NXH382,STK-100,5,115.8,579.0,300,279.0,alpha,CX,0,26,2016-06,2016-26
SO - 0001436,2015-10-11,2015,10,11,"Fenwal, Corp",Distributor,AXW291,STK-137,7,307.98,2155.86,1239,916.86,alpha,CY,0,41,2015-10,2015-41
SO - 0001437,2015-05-30,2015,5,30,New Ltd,Distributor,AXW291,STK-157,10,444.02,4440.2,2980,1460.1999999999998,beta,CZ,0,22,2015-05,2015-22
SO - 0001438,2016-03-12,2016,3,12,U.S. Ltd,Wholesale,AXW291,STK-144,6,127.92000000000002,767.5200000000001,468,299.5200000000001,beta,CY,0,10,2016-03,2016-10
SO - 0001439,2016-02-27,2016,2,27,O.E. Ltd,Distributor,AXW291,STK-155,11,513.08,5643.88,2794,2849.88,beta,CX,0,8,2016-02,2016-08
SO - 0001440,2015-07-15,2015,7,15,Uriel Group,Wholesale,AXW291,STK-134,12,484.3,5811.599999999999,3480,2331.5999999999995,beta,BX,0,29,2015-07,2015-29
SO - 0001441,2015-10-24,2015,10,24,O.E. Ltd,Wholesale,GUT930,STK-105,11,480.68,5287.4800000000005,2684,2603.4800000000005,beta,CY,0,43,2015-10,2015-43
SO - 0001442,2016-04-26,2016,4,26,Medline ,Export,FLR025,STK-154,7,345.15,2416.05,1365,1051.0499999999995,beta,CY,0,17,2016-04,2016-17
